venue_id,name
794,Lake Forest High School
796,Lutheran Church of the Good Shepherd
797,The Java House Cafe
798,the baby grand Studio One (3rd floor)
800,Heritage Shores
801,Delmar High School
803,Piazza Mia
804,Film Brothers Movie Co-op
806,the [blank] canvas
808,Dover English Country Dancers
809,"Ehinger Hall, Elizabeth Murphey School Campus"
810,Brandywine Valley Baptist Church
811,Rehoboth Beach Convention Center
813,Dagsboro Boys & Girls Club
814,Concord Players
815,SRIJAN
816,Sussex Central High School
817,Darley House
820,Duck Creek Historical Society
821,Seaford Sports Complex
822,Cavaliers Country Club
825,World Trade Center Delaware
826,Zwaanendael Park
828,New Castle (city of)
829,Historic New Castle
830,Lewes Presbyterian Church
831,Western Sussex Farmers' Market (Seaford)
834,Brandywine Family Film Festival
835,ShopRite Parking Deck (Christina Crossing)
836,Waterview Gardens
837,Saint Edmond's Academy
838,Indian River Marina
840,Old Town Hall
841,Peninsula Gallery
